Gender,Political,Pol_Numeric,Accomplish,Emotional.Women,Funny,Your.Letters,Average.Letters,Happy,Mother.Born,Father.Born,Sleep.Tues,Sleep.Sat,Powers,Exclusive,Height,Shoe Size,feet,inches,height.inches
Male,I don't know,4,To win an Olympic gold medal,Agree,Pretty funny,7,8,80,23,27,6,10,9,9,"5,7",9.5,5,7,67
Male,Democrat,2,To win a Nobel prize,Strongly Disagree,Pretty funny,4,6,85,33,42,6,8,4,8,"5,10",14,5,10,70
Male,Independent,3,To win a Nobel prize,Agree,Pretty funny,6,10,85.56,30,,11,8,4,9,"6,0",14,6,0,72
Female,Democrat,2,To win a Nobel prize,Disagree,Pretty funny,6,5,40,26,32,5,6,10,6,"5,8",8.5,5,8,68
Female,I don't know,4,To win a Nobel prize,Disagree,A little,3,5,33.33,35,41,8,8,11,2,"5,3",7,5,3,63
Male,Democrat,2,To win a Nobel prize,Disagree,A little,5,5,50,23,27,11,4,4,8,"5,10",15,5,10,70
Male,I don't know,2,To win a Nobel prize,Agree,A little,5,6,,27,33,8,11,5,,"6,8",11,6,8,68
Male,Independent,3,To become president of the United States,Agree,Pretty funny,6,8,75,22,27,7,8,7,4,"6,1",15,6,1,73
Female,Democrat,2,To win a Nobel prize,Agree,A little,6,5,39.55,40,43,6,3,10,1,"5,6",7.5,5,6,66
Female,Democrat,2,To win a Nobel prize,Agree,I'm hilarious,5,7,60,30,,6,7,3,9,"5,2",6.5,5,2,62
Male,Democrat,2,To win an Olympic gold medal,Disagree,A little,5,6,90,,,9,10,6,5,"5,11",11.5,5,11,71
Male,Democrat,2,To become president of the United States,Agree,A little,5,6,70,32,32,8,10,15,1,"5,0",8.5,5,0,60
Female,I don't know,4,to win an Academy Award,Agree,Not at all,5,6,20,22,30,6,4,7,0,"5,5",9,5,5,65
Male,Independent,3,To become president of the United States,Agree,I'm hilarious,4,6,60,,,6,8,6,3,"5,10",16,5,10,70
Female,I don't know,4,To win a Nobel prize,Agree,A little,5,5,80,25,31,6.5,9,9,10,"4,10",5.5,4,10,58
Male,I don't know,4,To win an Olympic gold medal,Agree,Pretty funny,5,6,80,33,34,5,7,9,4,"6,0",10.5,6,0,72
Female,Democrat,2,To win an Academy Award,Agree,A little,4,5,73.82,27,34,6,8,9,7,"6,6",6.5,6,6,66
Female,Republican,1,to win an Academy Award,Disagree,I'm hilarious,7,7,75,28,,6.5,6,5,3,"5,9",9.5,5,9,69
