SubjectID,Country,Age,Gender,Psychological.Wellbeing,Sat.With.Life,Positive.Aff,Negative.Aff
ID100,2,19,1,4.611111111,4.8,3.6,2.9
ID101,1,19,2,4.055555556,4,2.3,2.4
ID102,2,17,2,4.222222222,5,2.6,1.9
ID103,1,18,1,4.111111111,4,3.5,2.1
ID104,2,19,2,5.055555556,5.6,3.8,2.2
ID105,1,14,1,4.888888889,5.6,4,1.9
ID106,2,19,1,4.555555556,4.8,3.7,1.9
ID107,2,18,1,4.055555556,4,3.6,2.3
ID108,1,16,2,4.388888889,4.6,3.4,3.7
ID109,1,14,2,4.944444444,6.4,4.1,2
ID110,1,15,2,3.888888889,3.4,3.2,2.6
ID111,2,19,2,4.722222222,6.2,4.2,1.4
ID112,1,18,1,4.055555556,3.6,2.3,3.1
ID113,2,18,1,5.333333333,5,4.9,2.1
ID114,2,19,2,5.166666667,6,4.8,1.1
ID115,1,16,2,4.111111111,5,3.5,2.1
ID116,2,18,2,3.555555556,5,2.7,3
ID117,2,18,2,3.888888889,2.2,2.9,2.3
ID118,1,19,2,4,5,4.1,2.5
ID119,1,18,2,4,3,3.1,2.3
ID120,2,18,2,4.611111111,6.8,4.3,2.1
ID121,2,18,1,4.277777778,4.2,3.5,1.9
ID122,2,19,1,4.444444444,2.8,3.6,3.5
ID123,1,18,1,4.944444444,4.6,3.4,1.8
ID124,2,18,1,4.777777778,5.8,4,2
ID125,1,19,1,4.888888889,5.4,4.4,2.1
ID126,1,17,1,4.833333333,6.8,3.9,1
ID127,2,18,1,4.166666667,5.8,3.5,3.1
ID128,2,18,1,4.333333333,4.8,3.1,1.7
ID129,2,18,1,3.444444444,2.6,1.7,1.4
ID130,1,15,2,3.944444444,5.6,3.6,2
ID131,2,18,1,3.055555556,3.8,3.2,3
ID132,1,18,2,4.222222222,4.6,4,2.7
ID133,1,16,2,4.666666667,5,3.5,2.2
ID134,1,17,2,3.888888889,5.8,3.8,3
ID135,1,19,2,4.388888889,4,3.9,2.6
ID136,2,18,2,4.333333333,4.8,3.8,2.4
ID137,1,18,1,4.055555556,6,4.8,2.7
ID138,2,18,1,5.388888889,5.6,3.8,1.4
ID139,2,17,2,4.555555556,2.4,3.2,2.7
ID140,2,18,2,4.888888889,6.4,2.8,1.8
ID141,1,18,1,4.222222222,4,3.5,2.7
ID142,1,16,1,4,5.2,3.6,1.7
ID143,2,18,1,4,5,3.9,2
ID144,2,19,2,4.388888889,3.8,3.7,2
ID145,1,18,2,4.333333333,4.6,3.5,2.5
ID146,2,18,1,4.833333333,5.2,3.8,2.2
