Countryorarea,gdp,incidence,mortality,Pill,IUD,Condom,Vaginalbarrier,europe
Burundi,200,18.6,15.6,2.4,1,1,0,0
Comoros,800,12.5,9.6,8.3,0,1,0,0
Djibouti,1500,7.2,5.6,13.6,0,0,1,0
Eritrea,400,7.8,6.6,1.4,0,1,0,0
Ethiopia,300,6.3,5.2,3.1,0,0,0,0
Kenya,800,15.2,12.2,7.5,2,1,0,0
Madagascar,400,21.8,17.6,3.4,1,1,0,0
Malawi,300,13.5,11.1,2.4,0,2,0,0
Mauritius,7500,10.8,10.7,15.8,1,9,0,0
Mozambique,400,16.1,12.2,4.9,0,1,0,0
R_union,,45.7,17.4,42.6,13,3,0,0
Rwanda,500,16.2,13.2,2.4,0,1,0,0
Somalia,200,8.9,7.4,0.2,0,0,1,0
Uganda,500,28.7,23,2.9,0,2,0,0
United Republic of Tanzania,,8.8,7.2,5.9,0,2,0,0
Zambia,1200,30,24.7,11.9,0,4,0,0
Zimbabwe,600,26,20.5,43,0,1,0,0
Angola,5000,19.7,16.3,2.2,0,0,0,0
Cameroon,1200,19.2,15.2,1.6,0,8,0,0
Central African Republic,400,16.3,13.2,4.8,0,1,0,0
Chad,700,14,11.6,0.5,0,0,0,0
Congo,2800,21,16.6,2.3,0,9,0,0
Democratic Republic of the Congo,200,14.3,11.9,1,0,2,0,0
Gabon,8500,18.2,13.6,4.8,0,5,0,0
Sao Tome and Principe,1100,,,16.7,1,0,0,0
Algeria,4600,7.1,5.4,45.9,2,2,0,0
Egypt,2700,6.6,5.1,9.9,37,1,0,0
Libyan Arab Jamahiriya,11500,10.3,8.1,9.6,11,,,0
Morocco,3300,9.8,7.5,40.1,5,2,0,0
Sudan,1600,9,7.3,4.3,0,0,0,0
Tunisia,500,11.6,8.1,10.9,28,2,0,0
Botswana,6900,8.9,6.6,14.3,2,16,0,0
Lesotho,1100,11.1,8.9,10.9,2,5,0,0
Namibia,5600,14.8,11.7,8.2,1,5,0,0
South Africa,7300,59.7,20.8,11.1,1,5,0,0
Swaziland,2600,17.6,14.3,8,0,15,0,0
Benin,700,16,13.1,1.8,1,1,0,0
Burkina Faso,500,18.3,15.6,2.2,0,2,0,0
Cape Verde,3200,18.8,15.7,18.2,4,3,0,0
CÈte d'Ivoire,1100,34.8,28.8,3.5,0,2,0,0
Gambia,600,5.4,4.8,3.9,1,0,0,0
Ghana,1300,20.4,16.4,5.5,1,3,1,0
Guinea,500,20.1,16.8,1.6,0,1,0,0
Guinea-Bissau,,17.9,14.6,0.3,2,0,0,0
Liberia,300,27.5,22.9,3.3,1,0,0,0
Mali,700,13.1,10.9,2.8,0,0,0,0
Mauritania,1200,17.9,15.3,2.6,1,1,0,0
Niger,400,5.2,4.4,3,0,0,0,0
Nigeria,1300,22.7,18.6,1.8,1,2,0,0
Senegal,1000,18.1,15.3,3.6,1,2,0,0
Sierra Leone,400,27.3,24.2,2.5,0,0,0,0
Togo,500,28.8,23.6,2.5,0,2,0,0
China,4400,4.3,1.3,1.5,45,5,0,0
Democratic People's Republic of Korea,1200,2.3,1.4,3.7,43,6,0,0
Japan,42800,22.7,5,1.1,,41,0,0
Mongolia,2000,2.3,1.5,11,33,5,0,0
Republic of Korea,20700,22.4,4.1,1.8,13,15,0,0
Afghanistan,500,3.8,3.1,5,0,1,0,0
Bangladesh,700,1.9,1.2,26.2,1,4,0,0
Bhutan,2000,1.7,1.7,3.4,3,1,0,0
