UID,yrint,yrborn,female,race,marital,educ,realrinc,health
ID_3148,1974,1923,0,1,1,12,96450,3
ID_3154,1974,1935,0,1,1,14,43178,4
ID_3167,1974,1917,1,1,1,12,13570,3
ID_3194,1974,1935,0,1,3,12,18505,3
ID_3202,1974,1942,1,1,1,13,13570,4
ID_3241,1974,1947,1,1,1,8,8636,3
ID_3242,1974,1954,1,1,5,12,8636,2
ID_3244,1974,1951,0,1,5,16,16038,4
ID_3260,1974,1953,1,1,5,12,4935,3
ID_3274,1974,1914,0,1,1,12,43178,3
ID_3291,1974,1955,1,1,5,11,4935,3
ID_3312,1974,1944,1,2,4,15,1234,3
ID_3316,1974,1950,1,1,1,13,13570,3
ID_3326,1974,1931,1,1,1,16,43178,4
ID_3364,1974,1927,0,1,1,17,55515,4
ID_3394,1974,1922,0,1,1,15,55515,3
ID_3407,1974,1925,1,1,1,12,13570,4
ID_3408,1974,1941,0,1,1,13,30841,3
ID_3409,1974,1935,0,1,1,12,30841,3
ID_3418,1974,1933,0,1,1,19,96450,4
ID_3423,1974,1913,0,2,1,12,22206,3
ID_3426,1974,1946,1,2,5,13,30841,2
ID_3460,1974,1915,1,1,1,12,13570,3
ID_3482,1974,1921,0,1,1,8,30841,2
ID_3496,1974,1927,0,1,2,14,4935,3
ID_3531,1974,1948,0,1,1,12,30841,3
ID_3532,1974,1894,0,1,1,8,18505,2
ID_3533,1974,1910,0,1,1,8,22206,4
ID_3541,1974,1948,0,1,1,18,43178,4
ID_3561,1974,1951,0,1,1,9,18505,3
ID_3577,1974,1931,0,1,4,16,96450,4
ID_3593,1974,1911,0,1,1,12,55515,4
ID_3596,1974,1931,1,3,1,12,4935,4
ID_3597,1974,1927,0,2,1,10,43178,3
ID_3598,1974,1926,0,2,1,10,30841,4
ID_3606,1974,1918,1,1,1,15,30841,4
ID_3621,1974,1928,1,1,1,11,13570,3
ID_3622,1974,1951,0,1,5,12,43178,4
ID_3632,1974,1950,0,1,1,14,8636,4
ID_3650,1974,1908,1,1,2,12,16038,4
ID_3669,1974,1935,0,1,1,18,96450,4
ID_3689,1974,1934,1,1,1,14,4935,4
ID_3715,1974,1919,0,1,1,8,30841,1
ID_3739,1974,1955,0,2,5,11,1234,3
ID_3754,1974,1912,0,1,1,11,30841,4
ID_3764,1974,1947,0,1,1,15,8636,4
ID_3765,1974,1948,0,1,1,12,30841,4
ID_3766,1974,1923,0,1,1,10,30841,3
ID_3779,1974,1922,0,1,1,11,4935,4
ID_3821,1974,1908,1,2,2,12,4935,4
ID_3836,1974,1923,1,1,1,8,11103,3
ID_3877,1974,1946,0,1,1,13,30841,4
ID_3882,1974,1951,0,1,1,11,18505,4
ID_3896,1974,1930,1,1,1,17,22206,3
ID_3919,1974,1923,1,1,1,13,4935,2
ID_3923,1974,1931,0,1,1,18,43178,3
ID_3931,1974,1928,1,1,1,12,16038,3
ID_3941,1974,1940,1,1,4,12,11103,3
ID_3952,1974,1951,0,2,5,14,4935,3
ID_4014,1974,1939,1,1,1,12,43178,4
ID_4015,1974,1947,1,1,5,16,30841,2
ID_4035,1974,1952,1,1,5,15,4935,3
ID_4053,1974,1923,0,1,1,20,43178,3
ID_4062,1974,1954,0,1,5,12,4935,4
ID_4087,1974,1948,0,1,5,15,4935,4
ID_4091,1974,1948,1,1,1,16,13570,4
ID_4102,1974,1952,0,1,1,12,18505,3
ID_4142,1974,1953,0,1,1,12,18505,4
ID_4168,1974,1923,0,1,1,8,30841,2
ID_4176,1974,1916,1,1,1,12,4935,4
ID_4183,1974,1924,0,1,1,11,22206,4
ID_4188,1974,1934,0,1,1,12,8636,3
ID_4192,1974,1945,0,1,1,13,13570,4
ID_4193,1974,1910,0,1,1,8,18505,4
ID_4216,1974,1943,1,1,1,12,16038,3
ID_4218,1974,1927,0,1,1,17,30841,3
ID_4226,1974,1906,1,1,1,7,4935,3
ID_4253,1974,1896,0,1,1,8,8636,2
ID_4263,1974,1925,0,1,1,14,43178,2
ID_4278,1974,1925,0,1,1,16,96450,4
ID_4285,1974,1948,1,1,5,18,8636,4
ID_4295,1974,1930,1,1,1,12,1234,3
ID_4320,1974,1942,1,1,1,12,4935,4
ID_4343,1974,1918,0,1,1,13,18505,2
ID_4348,1974,1932,0,1,1,12,43178,4
ID_4372,1974,1950,0,1,1,13,22206,4
ID_4380,1974,1953,1,1,5,12,8636,3
ID_4391,1974,1951,1,1,1,12,4935,3
ID_4403,1974,1922,0,1,1,14,55515,3
ID_4406,1974,1922,1,1,1,16,22206,4
ID_4428,1974,1914,0,1,4,4,1234,2
ID_4448,1974,1901,0,1,1,7,13570,3
ID_4462,1974,1942,0,1,1,11,11103,3
ID_4590,1974,1949,1,1,1,12,11103,4
ID_4613,1975,1917,1,1,3,9,14452,4
ID_4616,1975,1934,1,1,1,19,1112,3
ID_4626,1975,1948,1,1,1,10,16676,3
ID_4671,1975,1950,0,1,5,13,27793,4
ID_4672,1975,1950,0,1,1,14,7782,3
ID_4677,1975,1940,1,1,1,9,16676,3
ID_4726,1975,1951,0,1,5,12,20011,3
ID_4729,1975,1930,0,1,1,12,27793,3
ID_4747,1975,1950,0,1,5,14,12229,2
ID_4775,1975,1955,0,1,5,12,7782,2
ID_4781,1975,1948,0,1,3,17,20011,4
ID_4810,1975,1916,1,1,2,11,4447,2
ID_4838,1975,1954,0,1,5,12,1112,3
ID_4893,1975,1945,0,1,1,11,20011,4
ID_4915,1975,1930,0,1,1,12,16676,3
ID_4939,1975,1928,1,1,1,12,14452,4
ID_4973,1975,1909,1,1,1,7,7782,2
ID_4975,1975,1901,0,1,1,7,20011,4
ID_5012,1975,1951,1,1,1,12,10005,4
