"ID","gender","sped","frlunch","esol","black","white","hispanic","asian","age","pretest","posttest"
23451018,0,0,0,0,1,0,0,0,11.953457,233,233
23450504,1,0,0,0,0,0,0,0,12.43258,236,249
23452285,0,1,1,0,0,0,1,0,12.714579,204,205
23451617,1,0,1,0,1,0,0,0,12.684463,222,213
23452650,0,0,0,0,1,0,0,0,12.271047,201,209
23450282,0,0,1,0,0,0,1,0,12.714579,207,222
23452090,0,0,0,0,0,1,0,0,12.024641,216,214
23450673,1,0,0,0,0,0,1,0,12.208077,214,224
23451871,1,0,1,0,1,0,0,0,11.915127,229,221
23450174,0,0,0,0,0,1,0,0,12.709103,231,235
23451038,0,0,1,0,0,1,0,0,12.76386,193,223
23451809,0,0,1,1,0,0,1,0,12.405202,235,248
23451589,0,0,1,0,0,0,1,0,13.442847,211,222
23452556,1,1,0,0,0,1,0,0,12.005476,215,202
23452398,0,0,0,0,0,0,1,0,12.750171,198,218
23451075,1,0,0,0,0,1,0,0,12.29295,206,226
23452685,0,0,1,0,1,0,0,0,12.783025,199,231
23452714,0,0,1,0,1,0,0,0,12.438056,206,217
23452437,0,0,1,0,0,1,0,0,13.574264,193,219
23451577,0,0,1,1,0,0,1,0,12.164271,215,217
23452709,0,0,0,0,1,0,0,0,12.588638,211,218
23450026,1,0,0,0,0,1,0,0,12.974675,228,234
23450492,0,0,0,0,0,1,0,0,12.279261,213,225
23452099,1,0,1,0,1,0,0,0,13.462012,204,220
23450510,1,0,0,0,0,1,0,0,12.583162,221,237
23452131,NA,0,0,0,NA,NA,NA,NA,NA,243,223
23450005,0,0,0,0,0,0,0,1,12.021903,238,247
23451750,1,0,1,0,0,0,1,0,14.302533,213,217
23452446,1,0,1,1,0,0,0,1,12.366872,214,231
23452499,1,0,0,0,0,1,0,0,12.599589,226,231
23452067,0,0,0,0,0,1,0,0,12.607803,230,236
23450402,0,0,0,0,0,1,0,0,11.945243,229,229
23450524,0,0,0,0,0,1,0,0,12.112252,222,222
23451478,1,0,1,1,0,0,1,0,14.173854,197,212
23451943,1,0,0,0,0,1,0,0,12.301164,251,249
23452068,0,0,1,0,0,1,0,0,13.407255,204,202
23451859,0,0,1,0,0,0,1,0,12.468172,214,236
23452494,0,0,1,0,0,1,0,0,12.136893,201,204
23452526,0,0,0,0,0,1,0,0,12.186174,226,231
23450604,0,0,1,0,0,0,1,0,12.279261,217,217
23450505,0,0,1,0,0,1,0,0,12.454483,213,223
23450447,0,0,1,0,0,1,0,0,12.640657,228,221
23451387,1,0,1,1,0,0,1,0,12.821355,207,216
23450995,0,0,0,0,1,0,0,0,12.418891,223,221
23450304,0,0,1,1,0,0,1,0,12.435318,203,211
23452125,0,0,1,0,0,1,0,0,12.572211,230,234
23451514,1,1,1,1,1,0,0,0,13.445585,217,216
23451421,0,0,0,0,1,0,0,0,12.832307,216,212
23451327,0,NA,1,0,0,0,1,0,12.654346,209,223
23452452,0,0,1,0,0,0,1,0,12.364134,226,226
23450612,1,0,1,1,0,0,1,0,12.262834,227,226
23452129,NA,0,0,0,NA,NA,NA,NA,NA,251,241
23451569,0,0,1,0,0,0,1,0,12.695414,216,230
23450427,1,0,0,0,0,1,0,0,13.084189,205,216
23451395,1,NA,1,1,0,0,1,0,12.87885,221,226
23452738,1,0,1,0,1,0,0,0,12.76386,226,229
23450790,1,0,1,0,0,1,0,0,12.563997,207,237
