Variable Name,Description
ID,ID of each student
gender,"Indicator for gender: 1=male, 0=female"
sped,"Indicator for special ed status: 1=SPED, 0=non-SPED"
frlunch,"Indicator for eligibility of free/reduced price lunch: 1=eligible, 0=not eligible"
esol,"Indicator for English as second language status: 1=yes, 0=no"
black,"Indicator for student's race/ethnicity=black: 1=yes, 0=no"
white,"Indicator for student's race/ethnicity=white: 1=yes, 0=no"
hispanic,"Indicator for student's race/ethnicity=hispanic: 1=yes, 0=no"
asian,"Indicator for student's race/ethnicity=asian: 1=yes, 0=no"
age,Age (in year) of student as of September of 2010: continuous measure
pretest,"Pre-test scale score, to be used as rating variable: continuous measure"
posttest,"Posttest scale score, to be used as outcome measure, continuous measure"
