Variable,Description
ID,ID variable
LOW,"Low Birth Weight (0 = Birth Weight >= 2500g, 1 = Birth Weight < 2500g)"
AGE,Age of the Mother in Years 
LWT,Weight in Pounds at the Last Menstrual Period
RACE,"Race (1 = White, 2 = Black, 3 = Other)"
SMOKE,"Smoking Status During Pregnancy (1 = Yes, 0 = No"
PTL,"History of Premature Labor (0 = None  1 = One, etc.)"
HT,"History of Hypertension (1 = Yes, 0 = No)"
UI,"Presence of Uterine Irritability (1 = Yes, 0 = No)"
FTV,"Number of Physician Visits During the First Trimester (0 = None, 1 = One, 2 = Two, etc.)"
BWT,Birth Weight in Grams 
