Variable,Description
id,Subject ID
hsg,High School Current
blk,Black ethnicity (0=no; 1=yes)
hsp,Hispanic ethnicity (0=no; 1=yes)
nonint,Non intact family structure (0=no; 1=yes)
mhs,Mother graduate HS (0=no; 1=yes)
mcol,Mother gradute College (0=no; 1=yes)
fhs,Father graduate HS (0=no; 1=yes)
fcol,Father gradute College (0=no; 1=yes)
adjinc,Family monthly income in thousands (1979 dollars)
urb,Urban (0=no; 1=yes)
empl,Employment status (0=not employed; 1=working; 2=in school)
unem80,Unemployment rate in 1980
wtest,Armed Services aptitude test score
age,Age of subject
