LoanID,loan_amnt,purpose,fico,dti,income,loanIndicator
1,5000,debt_consolidation,737,27.65,24e3,1
2,2500,major_purchase,742,1,3e4,0
3,10000,other,692,20,49200,1
4,3000,other,697,17.94,8e4,1
5,5000,vacation_wedding,732,11.2,36e3,1
7,5600,small_business,677,5.55,4e4,0
9,12000,debt_consolidation,677,10.78,75e3,1
10,9000,debt_consolidation,712,10.08,3e4,0
11,3000,debt_consolidation,707,12.56,15e3,1
12,10000,other,722,7.06,1e5,0
13,6000,medical,687,18.44,84e3,1
14,20250,debt_consolidation,727,26.53,43370,1
16,10000,debt_consolidation,692,11.18,5e4,1
17,15000,debt_consolidation,732,29.44,92e3,1
18,8500,debt_consolidation,697,12.19,25e3,1
19,4375,debt_consolidation,737,20.34,17108,1
20,31825,debt_consolidation,762,14.03,75e3,1
21,10000,debt_consolidation,692,22.83,29120,1
22,5000,debt_consolidation,702,11.93,24044,1
23,7000,debt_consolidation,677,6.35,34e3,1
25,15000,debt_consolidation,732,8.48,45e3,1
26,6000,debt_consolidation,697,10.62,36852,1
27,12500,debt_consolidation,737,16.04,27e3,1
28,9600,other,762,6.63,68004,1
29,5000,debt_consolidation,707,16.33,1e5,0
31,25600,debt_consolidation,727,15.71,11e4,1
32,21000,debt_consolidation,682,21.58,5e4,0
33,16000,debt_consolidation,667,20.52,81e3,1
34,7100,debt_consolidation,682,24,33e3,1
35,13000,debt_consolidation,732,13.72,3e4,1
36,17500,small_business,707,19.47,4e4,1
37,17675,debt_consolidation,722,16.46,5e4,1
38,10000,debt_consolidation,757,21.73,45996,1
39,12500,debt_consolidation,692,13.16,3e4,0
40,16425,debt_consolidation,697,22.71,44544,1
41,8200,small_business,677,12.48,75e3,0
42,15000,debt_consolidation,687,11.88,61e3,1
44,14400,debt_consolidation,722,14.85,15e4,1
45,11000,debt_consolidation,692,21.82,48e3,1
46,7250,debt_consolidation,682,24.82,75e3,1
47,35000,home_improvement,727,7.51,15e4,1
48,10000,debt_consolidation,682,15.39,68e3,1
50,4500,major_purchase,762,4.44,53e3,1
52,9200,debt_consolidation,702,19.96,6e4,1
53,14000,other,702,6.34,28e3,1
54,4500,major_purchase,752,5.4,42e3,1
55,12000,debt_consolidation,682,16.85,88365,1
57,12000,debt_consolidation,702,23.94,62e3,1
58,8200,debt_consolidation,687,2.8,12e4,1
59,10500,medical,697,20.73,66e3,1
60,15300,debt_consolidation,672,20.58,85e3,1
61,20000,debt_consolidation,742,10.04,47800,1
62,3500,major_purchase,747,2.31,83e3,1
63,6000,major_purchase,697,13.66,81e3,1
65,24000,debt_consolidation,727,14.8,45e3,1
66,5500,small_business,742,9.69,11e4,1
67,11000,debt_consolidation,737,20.5,45608,1
68,26800,debt_consolidation,682,12.15,12e4,1
69,10000,debt_consolidation,667,24.14,75e3,0
