IDR,Unique ID number
Female,Female indicator (Male: Female=0; Female: Female=1)
Group,"One of three Group of specializations: Basic Sciences, Clinical Sciences, Clerkship"
WHOQOL.PH,World Health Organization Quality of Life Assessment: Physical Health
WHOQOL.PSY,World Health Organization Quality of Life Assessment: Psychological
WHOQOL.SOC,World Health Organization Quality of Life Assessment: Social Relationships
WHOQOL.ENV,World Health Organization Quality of Life Assessment: Environment
Resilience,Resiliance Score
BDI,Beck Depression Inventory
Age,Age in years
State.Anxiety,State Anxiety Score
Trait.anxiety,Trait Anxiety Score
