Variable,Description
StudID,Unique Identifier
Gender,"Sex (1=Male, 2=Female)"
Age,Age in years
Sport,Sport played by the student
Years,Number of years in the sport
HoursADay,Average Hours per day the sport is practiced
TimesAWeek,Average Time per week the sport is practiced
burnout,Burnout score
negativethoughts,Negative thoughts score
personalchange,Personal Change score
noconfidence,No-confidence score
helplessness,Helplessness score
negativeself,Negative self image score
sportstress,Stress due to sport score
generalstress,General life stress score
coachrelation,Relationship with coach
academicrequirements,Perception of academic load
performancedemand,Perception of performance demand
trainingadaption,Score of adaptation ability
