"age","female","full_ed","child","marital","practice","coherance","coherance_mean","quallife","quallife_mean","impact","impact_mean"
36,1,0,1,"Cohabitant","Nursing",32,2.462,79,5.043,39,2.6
23,1,1,0,"Single","SurgicalWard",36,2.769,70,4.375,24,1.6
23,1,1,0,"Single","MedicalWard",37,2.846,79,4.938,59,3.933
31,1,0,1,"Single","Nursing",38,2.923,74,5.946,29,1.933
24,1,1,0,"Single","MedicalWard",38,2.923,74,4.625,14,0.933
23,1,1,0,"Boy/Girlfriend","MedicalWard",38,2.923,41,2.562,53,3.533
31,0,1,0,"Single","Nursing",41,3.154,68,5.603,23,1.533
36,1,1,0,"Single","SurgicalWard",41,3.154,86,5.375,16,1.067
25,0,1,0,"Single","Nursing",42,3.231,80,4.795,14,0.933
35,1,1,0,"Single","Nursing",42,3.231,62,5.073,39,2.6
31,1,0,0,"Single","Nursing",43,3.308,72,4.542,26,1.733
23,1,1,0,"Single","SurgicalWard",43,3.308,80,5,17,1.133
24,1,1,0,"Single","Nursing",44,3.385,68,4.434,4,0.267
25,1,1,0,"Single","MedicalWard",45,3.462,56,3.5,55,3.667
25,1,1,0,"Single","SurgicalWard",46,3.538,79,4.938,67,4.467
31,0,1,0,"Boy/Girlfriend","Nursing",47,3.615,81,4.744,39,2.6
28,1,1,0,"Single","SurgicalWard",47,3.615,80,5,12,0.8
26,1,1,0,"Boy/Girlfriend","MedicalWard",47,3.615,81,5.062,2,0.133
26,0,1,0,"Single","Nursing",48,3.692,75,5.557,21,1.4
27,1,1,0,"Married","Nursing",48,3.692,87,4.832,2,0.133
40,1,0,1,"Single","Nursing",49,3.769,85,4.381,8,0.533
32,1,1,0,"Married","SurgicalWard",49,3.769,79,4.938,28,1.867
32,1,0,0,"Single","Nursing",49,3.769,77,4.681,29,1.933
28,1,1,0,"Single","SurgicalWard",49,3.769,79,4.938,4,0.267
24,1,1,0,"Cohabitant","MedicalWard",49,3.769,61,3.812,47,3.133
24,1,1,0,"Married","SurgicalWard",49,3.769,48,3,27,1.8
25,1,1,0,"Single","Nursing",50,3.846,69,5.727,14,0.933
24,1,1,0,"Single","MedicalWard",50,3.846,86,5.375,18,1.2
24,1,1,0,"Cohabitant","SurgicalWard",50,3.846,83,5.188,55,3.667
24,1,1,0,"Cohabitant","SurgicalWard",50,3.846,69,4.312,47,3.133
23,1,1,0,"Single","SurgicalWard",50,3.846,77,4.812,10,0.667
27,1,1,0,"Boy/Girlfriend","MedicalWard",51,3.923,90,5.625,40,2.667
23,1,1,0,"Boy/Girlfriend","MedicalWard",51,3.923,86,5.375,32,2.133
23,1,1,0,"Boy/Girlfriend","SurgicalWard",51,3.923,60,3.75,20,1.333
57,0,1,1,"Boy/Girlfriend","MedicalWard",52,4,81,5.062,34,2.267
46,1,0,1,"Married","Nursing",52,4,69,4.352,28,1.867
42,1,1,1,"Married","SurgicalWard",52,4,68,4.25,37,2.467
28,1,1,0,"Boy/Girlfriend","Nursing",52,4,73,4.49,19,1.267
27,1,0,0,"Single","MedicalWard",52,4,73,4.562,42,2.8
25,1,1,0,"Single","MedicalWard",52,4,90,5.625,19,1.267
25,1,1,0,"Single","SurgicalWard",52,4,85,5.312,20,1.333
25,1,1,0,"Married","MedicalWard",52,4,93,5.812,14,0.933
24,1,1,0,"Boy/Girlfriend","Nursing",52,4,82,5.932,10,0.667
46,1,0,1,"Married","Nursing",53,4.077,60,4.407,41,2.733
40,1,0,1,"Married","Nursing",53,4.077,70,4.855,10,0.667
31,1,1,0,"Single","SurgicalWard",53,4.077,77,4.812,49,3.267
26,1,1,0,"Single","MedicalWard",53,4.077,77,4.812,27,1.8
26,1,1,1,"Single","Nursing",53,4.077,71,4.766,37,2.467
25,1,1,0,"Single","SurgicalWard",53,4.077,82,5.125,16,1.067
24,1,1,0,"Boy/Girlfriend","MedicalWard",53,4.077,82,5.125,7,0.467
23,1,1,0,"Single","MedicalWard",53,4.077,85,5.312,40,2.667
23,1,1,0,"Boy/Girlfriend","Nursing",53,4.077,77,5.237,15,1
22,1,1,0,"Boy/Girlfriend","Nursing",53,4.077,78,4.766,0,0
26,0,1,0,"Single","SurgicalWard",54,4.154,78,4.875,12,0.8
49,1,0,1,"Cohabitant","Nursing",54,4.154,71,4.909,27,1.8
34,1,1,1,"Married","SurgicalWard",54,4.154,74,4.625,39,2.6
27,1,1,0,"Cohabitant","MedicalWard",54,4.154,76,4.75,34,2.267
25,1,1,0,"Boy/Girlfriend","MedicalWard",54,4.154,72,4.5,31,2.067
24,1,1,0,"Cohabitant","MedicalWard",54,4.154,79,4.938,27,1.8
24,1,1,0,"Single","MedicalWard",54,4.154,84,5.25,31,2.067
